year,phase,mwh,dc_mwh,export_mwh,import_mwh,load_avg_mw,fuel_mmbtu,fuel_nm3,fuel_kg,availability
1,phase_1,159668.53999999998,77310.3341,82358.20589999999,1776.0288999999998,9.028123630136985,1245379.6610566722,36600285.938564144,26242405.017950486,0.9779680365296803
2,phase_1,159737.37,77332.4345,82404.93549999998,1753.9285000000004,9.028123630136985,1245904.6196685254,36615713.8726316,26253466.846676856,0.978310502283105
3,phase_2,159834.44999999998,112876.9031,46957.54689999998,5752.649300000002,13.542186347031963,1246692.5779483854,36638871.06658004,26270070.55473789,0.9791095890410959
4,phase_2,159825.34,112843.89899999999,46981.440999999984,5785.653400000002,13.542186347031963,1246595.5737839448,36636020.224971846,26268026.501304805,0.9788812785388128
5,phase_2,159929.31999999998,112858.69380000001,47070.626199999984,5770.858600000001,13.542186347031963,1247173.4358739462,36653002.93184306,26280203.10213147,0.9779680365296803
6,phase_2,160003.11999999997,112940.91139999998,47062.20859999998,5688.6410000000005,13.542186347031963,1247921.4563641548,36674986.39976505,26295965.248631544,0.9795662100456621
7,phase_3,160256.16999999998,148076.2639,12179.906099999984,10096.4752,18.056248755707763,1249576.2077790168,36723617.654020324,26330833.857932568,0.9789954337899544
8,phase_3,159978.55,147791.4367,12187.113299999986,10381.3024,18.056248755707763,1247546.4053948903,36663964.08010955,26288062.24543855,0.9781963470319635
9,phase_3,159517.63,147365.35460000002,12152.275399999984,10807.384500000002,18.056248755707763,1244358.7973824407,36570283.92106735,26220893.571405284,0.9780821917808219
10,phase_3,160319.56999999998,148099.32789999997,12220.242099999985,10073.411200000002,18.056248755707763,1249892.1109251718,36732901.68670507,26337490.509367526,0.9781963470319635
11,phase_3,160300.88999999998,148077.18579999998,12223.704199999986,10095.553300000003,18.056248755707763,1249712.1090089483,36727611.635960475,26333697.542983655,0.9778538812785388
12,phase_3,160156.33,147917.06579999998,12239.264199999983,10255.6733,18.056248755707763,1248872.2879751003,36702930.25490277,26316000.992765285,0.9788812785388128
13,phase_3,159955.72999999998,147754.90409999999,12200.825899999985,10417.835000000003,18.056248755707763,1247492.4611925818,36662378.72161129,26286925.543395296,0.9788812785388128
14,phase_3,160192.39999999997,148023.5137,12168.886299999986,10149.225400000001,18.056248755707763,1248897.178627934,36703661.762762904,26316525.483900994,0.9773972602739726
15,phase_3,159749.69999999998,147635.1532,12114.546799999984,10537.585900000002,18.056248755707763,1245903.578944365,36615683.2869371,26253444.9167339,0.9777397260273972
16,phase_3,159504.83999999997,147395.6417,12109.198299999985,10777.097400000002,18.056248755707763,1244373.844519258,36570726.13923366,26221210.641830534,0.9787671232876712
17,phase_3,159852.66999999998,147712.8075,12139.862499999985,10459.931600000004,18.056248755707763,1246886.586277266,36644572.74979645,26274158.66160405,0.9795662100456621
18,phase_3,159694.94999999995,147512.7066,12182.243399999987,10660.032500000003,18.056248755707763,1245698.6863753079,36609661.72833238,26249127.459214315,0.9788812785388128
19,phase_3,159684.91999999998,147594.8298,12090.090199999984,10577.909300000001,18.056248755707763,1245629.6950361817,36607634.1516678,26247673.686745815,0.9788812785388128
20,phase_3,159720.52999999997,147578.7613,12141.768699999986,10593.977800000002,18.056248755707763,1245668.5921016727,36608777.29199975,26248493.318363816,0.9775114155251141
