year,fuel_cost_usd,fixed_om_usd,variable_om_usd,insurance_usd,total_opex_usd
1,9963037.288453378,431200.0,1277348.3199999998,294900.0,11966485.608453378
2,10166581.696495168,439824.0,1303456.9392,294900.0,12204762.635695167
3,10376471.66478,448620.48,1330334.0942399998,294900.0,12450326.239020001
4,10583177.565312902,457592.88960000005,1356863.43528576,294900.0,12692533.890198661
5,10799845.088701256,466744.747392,1384901.1143594494,294900.0,12946390.950452706
6,11022448.990984399,476079.64233984,1413250.9859528476,294900.0,13206679.619277086
7,11257806.121657219,485601.23518663686,1443795.8088734627,294900.0,13482103.165717319
8,11464309.404835911,495313.25989036955,1470120.5401305098,294900.0,13724643.20485679
9,11663717.266286673,505219.525088177,1495202.6209979877,294900.0,13959039.412372837
10,11949894.186770609,515323.9155899405,1532773.813693795,294900.0,14292891.916054344
11,12187136.699854303,525630.3939017394,1563247.123441547,294900.0,14570914.21719759
12,12422525.738674302,536143.0017797741,1593074.1283902058,294900.0,14846642.868844282
13,12656976.621489013,546865.8618153696,1622900.3365260959,294900.0,15121642.819830477
14,12924653.36822508,557803.1790516771,1657807.6063064537,294900.0,15435164.153583212
15,13151546.505928932,568959.2426327106,1686290.6924453194,294900.0,15701696.441006962
16,13398106.867017144,580338.4274853648,1717380.1117236493,294900.0,15990725.406226158
17,13693664.652085308,591945.1960350721,1755547.6823725358,294900.0,16336057.530492917
18,13954231.171970403,603784.0999557736,1788891.867406906,294900.0,16641807.139333082
19,14232527.502440035,615859.7819548891,1824555.1022761392,294900.0,16967842.386671063
20,14517631.37792552,628176.9775939868,1861461.2206884914,294900.0,17302169.576208
