year,dc_mwh,export_mwh,import_mwh,energy_revenue_usd,export_revenue_usd,import_cost_usd,capacity_revenue_usd,total_revenue_usd
1,77310.3341,82358.20589999999,1776.0288999999998,11596550.114999998,5765074.413,177602.89,234712.32876712328,17418733.96676712
2,77332.4345,82404.93549999998,1753.9285000000004,11831862.478500001,5883712.394699998,178900.70700000008,239490.4109589041,17776164.577158906
3,112876.9031,46957.54689999998,5752.649300000002,17615569.497785997,3419824.225633199,598505.6331720002,244479.74794520548,20681367.8381924
4,112843.89899999999,46981.440999999984,5785.653400000002,17962627.2554988,3489995.6728509595,613978.1673307203,249311.194520548,21087955.955539588
5,112858.69380000001,47070.626199999984,5770.858600000001,18324281.95570689,3566553.1713153007,624656.2939452577,254060.17300602738,21520239.006082963
6,112940.91139999998,47062.20859999998,5688.6410000000005,18704383.825897798,3637233.6750017754,628071.9324396453,259564.85951395068,21973110.427973878
7,148076.2639,12179.906099999984,10096.4752,25013688.538379773,960158.6763989035,1137027.093727098,264601.88787967304,25101422.008931253
8,147791.4367,12187.113299999986,10381.3024,25464885.770787865,979941.3664409533,1192485.3278413075,269673.6297557994,25522015.439143308
9,147365.35460000002,12152.275399999984,10807.384500000002,25899300.022772312,996682.9231053131,1266257.3433523483,275035.00209390174,25904760.60461918
10,148099.32789999997,12220.242099999985,10073.411200000002,26548860.928687327,1022302.4364332841,1203865.886579676,280568.4443979338,26647865.92293887
11,148077.18579999998,12223.704199999986,10095.553300000003,27075789.482809033,1043043.9048026524,1230642.3139459663,286079.6219637011,27174270.69562942
12,147917.06579999998,12239.264199999983,10255.6733,27587441.90832619,1065259.0661954086,1275164.0696509003,292107.7998488807,27669644.70471958
13,147754.90409999999,12200.825899999985,10417.835000000003,28108341.709680118,1083151.8134192817,1321233.3755856499,297949.9558458583,28168210.10335961
14,148023.5137,12168.886299999986,10149.225400000001,28722629.817808263,1101922.6402042846,1312910.5271410088,303448.21835466864,28815090.149226207
15,147635.1532,12114.546799999984,10537.585900000002,29220217.399340045,1118942.1058711882,1390412.0809000765,309625.6330310548,29258373.057342213
16,147395.6417,12109.198299999985,10777.097400000002,29756269.105649672,1140817.0616120852,1450455.4169695303,316150.00363811204,29762780.753930338
17,147712.8075,12139.862499999985,10459.931600000004,30416704.589220207,1166580.0791235897,1435924.4576705585,322736.2776817136,30470096.48835495
18,147512.7066,12182.243399999987,10660.032500000003,30983010.245774966,1194065.7251154473,1492661.903643738,328960.8265636998,31013374.893810377
19,147594.8298,12090.090199999984,10577.909300000001,31620264.273526315,1208733.8172706058,1510785.9264927167,335540.04309497384,31653752.20739918
20,147578.7613,12141.768699999986,10593.977800000002,32249158.243447978,1238178.5007485815,1543342.5220551474,341771.892338508,32285766.11447992
