year,revenue_usd,opex_usd,ebitda_usd,tax_usd,project_cashflow_usd,equity_cashflow_usd,debt_service_usd,cumulative_project_usd,cumulative_equity_usd
0,0.0,0.0,0.0,0.0,-29490000.0,-8847000.0,0.0,-29490000.0,-8847000.0
1,17418733.96676712,11966485.608453378,5452248.358313743,697892.5074941228,4754355.85081962,1726715.8508196203,3027640.0,-24735644.14918038,-7120284.14918038
2,17776164.577158906,12204762.635695167,5571401.941463739,766667.3824391216,4804734.559024617,1887190.559024617,2917544.0,-19930909.59015576,-5233093.590155763
3,20681367.8381924,12450326.239020001,8231041.599172398,1597588.0797517195,6633453.519420679,3826005.5194206787,2807448.0,-13297456.070735082,-1407088.070735084
4,21087955.955539588,12692533.890198661,8395422.065340927,1679931.019602278,6715491.045738649,4018139.0457386486,2697352.0,-6581965.024996433,2611050.9750035647
5,21520239.006082963,12946390.950452706,8573848.055630257,1766487.616689077,6807360.438941181,4220104.438941181,2587256.0,225395.4139447473,6831155.413944745
6,21973110.427973878,13206679.619277086,8766430.808696792,1857291.2426090373,6909139.566087754,4431979.566087754,2477160.0,7134534.980032502,11263134.9800325
7,25101422.008931253,13482103.165717319,11619318.843213934,2746186.45296418,8873132.390249755,6506068.390249755,2367064.0,16007667.370282257,17769203.370282255
8,25522015.439143308,13724643.20485679,11797372.234286517,2832631.270285955,8964740.964000562,6707772.964000562,2256968.0,24972408.33428282,24476976.334282815
9,25904760.60461918,13959039.412372837,11945721.192246342,2910164.7576739024,9035556.43457244,6888684.43457244,2146872.0,34007964.76885526,31365660.768855255
10,26647865.92293887,14292891.916054344,12354974.006884525,3065969.402065357,9289004.604819167,7252228.604819167,2036776.0,43296969.37367442,38617889.37367442
11,27174270.69562942,14570914.21719759,12603356.478431832,3173512.9435295495,9429843.534902282,7503163.534902282,1926680.0,52726812.908576705,46121052.908576705
12,27669644.70471958,14846642.868844282,12823001.835875299,3272435.3507625894,9550566.48511271,7733982.48511271,1816584.0,62277379.39368942,53855035.39368942
13,28168210.10335961,15121642.819830477,13046567.283529133,3372533.7850587396,9674033.498470392,7967545.498470392,1706488.0,71951412.8921598,61822580.892159805
14,28815090.149226207,15435164.153583212,13379925.995642995,3505570.1986928987,9874355.796950096,8277963.796950096,1596392.0,81825768.6891099,70100544.6891099
15,29258373.057342213,15701696.441006962,13556676.61633525,3591624.184900575,9965052.431434676,8478756.431434676,1486296.0,91790821.12054458,78579301.12054458
16,29762780.753930338,15990725.406226158,13772055.34770418,3689266.604311254,10082788.743392926,10082788.743392926,0.0,101873609.86393751,88662089.86393751
17,30470096.48835495,16336057.530492917,14134038.957862034,3797861.6873586103,10336177.270503424,10336177.270503424,0.0,112209787.13444093,98998267.13444093
18,31013374.893810377,16641807.139333082,14371567.754477294,3869120.326343188,10502447.428134106,10502447.428134106,0.0,122712234.56257504,109500714.56257504
19,31653752.20739918,16967842.386671063,14685909.820728116,3963422.9462184347,10722486.874509681,10722486.874509681,0.0,133434721.43708472,120223201.43708472
20,32285766.11447992,17302169.576208,14983596.538271923,4052728.961481577,10930867.576790346,10930867.576790346,0.0,144365589.01387507,131154069.01387507
