parameter,low,high,npv_low_usd,npv_high_usd,low_irr_pct,high_irr_pct,spread
Debt interest (%),7.0,9.0,35986338.284066014,36596869.08707112,22.556495806202292,22.824874008074403,610530.8030051067
Capacity payment ($/mo),15000.0,25000.0,35891361.17609613,36691846.19504101,22.558131301775575,22.822702722623944,800485.0189448819
Planned outage (h/yr),334.0,84.0,33306870.215971768,37802976.838885024,21.793951047584414,23.13950308598578,4496106.622913256
Forced-outage rate/GT,0.03,0.08,38752044.935725786,32311926.452364955,23.294569412246346,21.653709141537547,6440118.483360831
Corporate tax (%),0.25,0.35,39512171.06228641,33071036.308850717,23.549751052632928,21.806132653728127,6441134.75343569
Export price ($/kWh),0.05,0.09,31542941.163431995,41040266.20770513,20.62918902374804,24.894561292603612,9497325.044273138
CAPEX,0.8,1.2,41299475.05261138,31283732.318525743,27.120468160137534,19.53380391933024,10015742.734085638
Discount rate (%),8.0,12.0,48155587.670469195,26935627.748768214,22.690452123060822,22.690452123060822,21219959.92170098
Gas price ($/MMBtu),6.0,10.5,53294315.08793792,14669449.049354374,28.265551896765828,15.332447038963437,38624866.03858355
PPA energy price ($/kWh),0.12,0.18,10712739.507125037,61870467.86401211,14.310627290979028,29.868458164855838,51157728.35688707
